prot1,"YLR027C  AAT2  Yes"
prot2,"YPR128C  ANT1  Yes"
prot3,"YML042W  CAT2  Yes"
prot4,"YCR005C  CIT2  Yes"
prot5,"YKL050C  YKL050C  No"
